text,text_md5,label
Muchas gracias a todas las asistentes hoy a #RLadiesMad. Sin vosotras no es posible. ¡Nos vemos en el siguiente!,0d2af9829b46f1ac4a6363b8e8b338aa,"polarizado, positivo"
"Al final no tendremos pizza (sorry!) pero habrá tortilla, ni tan mal!",16425e7b5d66222653046ce8beabc656,"polarizado, negativo"
Nos vemos esta noche en @CampusMadrid!! https://t.co/efHDelrsfn,19e369e5f5a747d89b65889d83d50877,"polarizado, negativo"
"Ya tenemos las pegatinas, los flyers y terminamos de preparar el tema del lunes! https://t.co/5c6XNqCwUP",209195bff9af96453ed34e0d0b02dce5,neutral
"Llevamos una semana a tope con código, la presentación del lunes y los goodies. Chicas, nos vemos el lunes! https://t.co/L4FlwFCN3g",20b2973d61d7d251392377fd9cd4188a,"polarizado, negativo"
¡Y no olvidéis rellenar la encuesta! Así podremos ofrecer cosas que nos interesen a todas https://t.co/AHt5uhIfA4 https://t.co/SJR21JvWLN,3a97b934dd64bd4b06a30dffee800913,neutral
"¡Una semana para #RLadiesMAD! ¡Venga, apuntarse! https://t.co/efHDelrsfn",4634076b569773e6deae26a4e5c9f3f5,neutral
Tilegrams en R https://t.co/wGJbjCivph por @bhaskar_vk,4b37afb0259bf1ec12e8d6dd0a90a297,"polarizado, positivo"
En #RLadiesMAD también iremos con la popular pizza! 🙌🏻 https://t.co/n1pzEH3joB,4bb13408eff422f05ed2697cd2c9320a,"polarizado, negativo"
Anoche muchas #RLadies estuvieron dándole muy duro a las conferencias en EEUU https://t.co/2sscJMxciS,4c7a761097e16728c9f3544968ed6940,"polarizado, positivo"
¡No olvidéis contestar a la primera encuesta de #RLadiesMAD! ¡Ya no queda nada! https://t.co/sDNlExDihx https://t.co/QOXOpKbkpV,5a9fa512d3999699299105a19786cb31,"polarizado, positivo"
¡Muchas gracias a las primeras R-Ladies por contestar la encuesta! ¡Están saliendo cosas muy interesantes!,5e1a191c06b8b1f0f5a58268fefa7f02,neutral
¡Hola! Se acerca nuestro primer #RLadiesMAD. Hemos creado una encuesta para saber más de las interesadas en venir! https://t.co/ZOJ2LEp4qU,603ecb85fa5bb1607580a67b101a2aed,neutral
¿Habéis visto que #rladies es morado? https://t.co/4fK5JUIWCD #purple,67aad5ca0c61aa08f7217b93e11f03be,neutral
El día 24 estaré todo el día en @CampusMadrid. Primero los Data Science Awards y luego la primera reunión de #RLadies!,79f9daccba4c27d4a459778d7fa1a884,"polarizado, positivo"
